City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto ayora,-0.7393,-90.3518,28.98,87,64,2.24,EC,1689287432
1,weno,7.4515,151.8468,28.58,75,69,5.46,FM,1689287203
2,muzaffargarh,30.0754,71.1921,33.01,34,0,5.04,PK,1689287485
3,albany,42.6001,-73.9662,28.43,94,68,1.04,US,1689287731
4,adamstown,-25.066,-130.1015,21.16,77,1,2.75,PN,1689287794
5,new norfolk,-42.7826,147.0587,14.95,84,94,3.88,AU,1689287794
6,college,64.8569,-147.8028,23.37,43,75,2.57,US,1689287767
7,whangarei,-35.7317,174.3239,14.97,77,73,4.07,NZ,1689287718
8,troitskoye,52.9821,84.6757,20.28,61,69,2.64,RU,1689287795
9,klyuchi,52.2667,79.1667,25.4,45,74,2.49,RU,1689287795
10,paracuru,-3.41,-39.0306,26.73,83,0,6.23,BR,1689287795
11,nadi,-17.8,177.4167,25.0,69,75,4.12,FJ,1689287796
12,bredasdorp,-34.5322,20.0403,10.05,78,3,1.66,ZA,1689287425
13,grytviken,-54.2811,-36.5092,-4.18,75,8,1.51,GS,1689287796
14,abu zabad,12.35,29.25,26.63,60,9,2.73,SD,1689287796
15,stanley,54.868,-1.6985,12.66,81,20,2.06,GB,1689287797
16,utrik,11.2278,169.8474,28.47,77,36,9.11,MH,1689287797
17,edinburgh of the seven seas,-37.0676,-12.3116,13.14,72,80,10.11,SH,1689287797
18,mossel bay,-34.1831,22.146,10.96,73,15,2.0,ZA,1689287798
19,ciudad lazaro cardenas,17.9583,-102.2,30.71,72,9,4.96,MX,1689287798
20,ribeira grande,38.5167,-28.7,20.99,87,63,1.79,PT,1689287798
21,queenstown,-31.8976,26.8753,5.36,66,8,0.7,ZA,1689287800
22,saldanha,-33.0117,17.9442,10.03,52,24,4.11,ZA,1689287800
23,blackmans bay,-43.0167,147.3167,14.29,64,76,4.11,AU,1689287800
24,zlin,49.2267,17.6663,18.05,88,73,1.46,CZ,1689287800
25,pacific grove,36.6177,-121.9166,30.77,72,0,4.12,US,1689287801
26,port-aux-francais,-49.35,70.2167,2.65,63,33,16.76,TF,1689287721
27,aasiaat,68.7098,-52.8699,3.96,98,100,4.54,GL,1689287801
28,rocha,-34.4833,-54.3333,8.92,76,97,5.43,UY,1689287802
29,ilulissat,69.2167,-51.1,11.01,82,75,6.17,GL,1689287802
30,papatowai,-46.5619,169.4708,9.7,78,77,8.66,NZ,1689287802
31,lihue,21.9789,-159.3672,29.77,68,40,5.66,US,1689287802
32,pitimbu,-7.4706,-34.8086,24.33,78,2,3.44,BR,1689287803
33,farafangana,-22.8167,47.8333,18.76,84,97,3.7,MG,1689287803
34,kodiak,57.79,-152.4072,18.73,59,0,2.06,US,1689287803
35,cabo san lucas,22.8909,-109.9124,35.9,46,75,6.17,MX,1689287667
36,ta`u,-14.2336,-169.5144,27.33,72,32,6.7,AS,1689287804
37,nago,26.5881,127.9761,29.24,80,76,6.79,JP,1689287804
38,anadyr,64.75,177.4833,9.28,93,100,7.0,RU,1689287804
39,bardai,11.65,7.2333,22.62,84,100,2.42,NG,1689287804
40,longyearbyen,78.2186,15.6401,9.91,66,40,7.2,SJ,1689287805
41,thompson,55.7435,-97.8558,15.09,88,75,4.12,CA,1689287805
42,hawaiian paradise park,19.5933,-154.9731,28.74,67,40,3.6,US,1689287805
43,valle hermoso,25.6667,-97.8333,34.92,54,3,10.02,MX,1689287511
44,chulym,55.0997,80.9572,19.4,73,75,3.11,RU,1689287806
45,yellowknife,62.456,-114.3525,25.29,31,40,6.17,CA,1689287709
46,whitehorse,60.7161,-135.0538,20.05,67,75,3.6,CA,1689287480
